2017-10-05 16:23:40.3203 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.TestDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] commienzo de metodo
2017-10-05 16:24:07.7077 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.TestDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] commienzo de metodo
2017-10-05 16:24:09.1326 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.TestDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] commienzo de metodo
2017-10-05 16:24:09.8126 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.TestDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] commienzo de metodo
2017-10-05 16:24:10.5524 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.TestDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] commienzo de metodo
2017-10-05 16:24:11.0070 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.TestDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] commienzo de metodo
2017-10-05 16:24:11.4410 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.TestDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] commienzo de metodo
2017-10-05 16:24:12.0308 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.TestDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] commienzo de metodo
2017-10-05 16:24:12.4827 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.TestDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] commienzo de metodo
2017-10-05 16:24:13.0439 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.TestDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] commienzo de metodo
2017/10/05 16:30:45.944 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.TestDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] commienzo de metodo
2017/10/05 16:31:39.468 FVG.FiscalAdapter.Domain.Core.Decorators.LoggerEntityHandlerDecorator`1[[FVG.FiscalAdapter.Domain.Entities.TestDocument, FVG.FiscalAdapter.Domain.Entities, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] commienzo de metodo
